MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,HasPool,HasFire,HasAC,HasFence,HasGarage,AmenitiesCount,Garage Yr Blt_was_missing,Garage Area_was_missing,Garage Cars_was_missing,BsmtFin SF 1_was_missing,BsmtFin SF 2_was_missing,Bsmt Unf SF_was_missing,Total Bsmt SF_was_missing,Bsmt Full Bath_was_missing,Bsmt Half Bath_was_missing,Pool Area_was_missing,Mas Vnr Area_was_missing
50,RM,52.0,6240,NoAlley,3.0,Lvl,Inside,2.0,BrkSide,Norm,1Fam,1.5Fin,6,5,1938,1950,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,BrkTil,3.0,3.0,1.0,2.0,52.0,1.0,0.0,809.0,861.0,3.0,Y,4.0,861,548,0,1409,1.0,0.0,1,1,3,1,2.0,6,Typ,1,4.0,Detchd,1968.0,1.0,2.0,528.0,3.0,2.0,225,0,84,0,0,0,NoFence,0,3,2007,WD,Normal,126000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,69.0,23580,NoAlley,2.0,Lvl,Inside,1.0,Mitchel,Norm,1Fam,1Story,6,6,1979,1979,Gable,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,4.0,3.0,4.0,6.0,776.0,1.0,0.0,849.0,1625.0,2.0,Y,4.0,1625,0,0,1625,0.0,1.0,2,0,3,1,1.0,6,Typ,1,3.0,Attchd,1979.0,3.0,2.0,576.0,3.0,2.0,136,28,0,0,0,0,NoFence,0,9,2006,WD,Normal,242500,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
120,RL,65.0,8769,NoAlley,3.0,Lvl,Corner,2.0,NridgHt,Norm,TwnhsE,1Story,9,5,2008,2008,Hip,MetalSd,MetalSd,BrkFace,766.0,4.0,2.0,PConc,5.0,3.0,1.0,6.0,1540.0,1.0,0.0,162.0,1702.0,4.0,Y,4.0,1702,0,0,1702,1.0,0.0,1,1,1,1,4.0,7,Typ,1,4.0,Attchd,2008.0,3.0,3.0,1052.0,3.0,2.0,0,72,0,0,224,0,NoFence,0,10,2008,New,Partial,367294,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
60,RL,52.0,46589,NoAlley,1.0,Lvl,CulDSac,2.0,NoRidge,Norm,1Fam,2Story,8,7,1994,2005,Hip,VinylSd,VinylSd,BrkFace,528.0,3.0,2.0,PConc,4.0,4.0,1.0,6.0,1361.0,3.0,180.0,88.0,1629.0,4.0,Y,4.0,1686,762,0,2448,1.0,0.0,2,1,4,1,3.0,8,Typ,1,3.0,Attchd,1994.0,2.0,3.0,711.0,3.0,2.0,517,76,0,0,0,0,NoFence,0,7,2009,WD,Normal,402000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
90,RL,65.0,8385,NoAlley,3.0,Lvl,Inside,2.0,Mitchel,Norm,Duplex,1Story,6,5,1978,1978,Gable,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1664.0,1664.0,2.0,Y,4.0,1664,0,0,1664,0.0,0.0,2,0,4,2,2.0,10,Typ,0,0.0,2Types,1978.0,1.0,2.0,616.0,3.0,2.0,0,0,0,0,0,0,NoFence,0,10,2006,WD,Normal,145000,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
160,RL,24.0,2179,NoAlley,3.0,Lvl,Inside,2.0,NPkVill,Norm,Twnhs,2Story,6,5,1976,1976,Gable,Plywood,Brk Cmn,None,0.0,2.0,2.0,CBlock,4.0,3.0,1.0,5.0,70.0,1.0,0.0,785.0,855.0,3.0,Y,4.0,855,601,0,1456,0.0,0.0,2,1,3,1,2.0,6,Typ,1,3.0,Attchd,1976.0,2.0,2.0,460.0,3.0,2.0,0,28,0,0,0,0,NoFence,0,7,2006,WD,Normal,144000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
30,RM,60.0,7200,NoAlley,3.0,Lvl,Corner,2.0,IDOTRR,Norm,1Fam,1Story,6,6,1930,1950,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,BrkTil,3.0,3.0,1.0,2.0,343.0,1.0,0.0,641.0,984.0,2.0,Y,1.0,984,0,0,984,0.0,0.0,1,0,3,1,2.0,6,Typ,0,0.0,Detchd,1930.0,1.0,1.0,308.0,3.0,0.0,0,0,164,0,0,0,NoFence,0,3,2006,ConLI,Family,90000,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20,RL,82.0,9488,NoAlley,3.0,Lvl,Inside,2.0,Sawyer,Feedr,1Fam,1Story,5,6,1947,1993,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1046.0,1046.0,3.0,N,4.0,1054,0,0,1054,0.0,0.0,1,0,3,1,2.0,6,Typ,0,0.0,Detchd,1947.0,1.0,1.0,240.0,3.0,2.0,0,60,122,0,0,0,NoFence,0,9,2008,WD,Abnorml,124000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60,RL,130.0,16900,NoAlley,3.0,Lvl,Inside,2.0,NridgHt,Norm,1Fam,2Story,8,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,1110.0,3.0,2.0,PConc,5.0,3.0,2.0,6.0,1075.0,1.0,0.0,404.0,1479.0,4.0,Y,4.0,1515,1134,0,2649,1.0,0.0,2,1,4,1,3.0,10,Typ,1,3.0,Attchd,2001.0,3.0,3.0,746.0,3.0,2.0,0,60,0,0,0,0,NoFence,0,1,2008,WD,Normal,421250,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,78.0,10140,NoAlley,3.0,Lvl,Inside,2.0,NWAmes,Norm,1Fam,1Story,5,6,1975,1975,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,4.0,3.0,1.0,5.0,788.0,1.0,0.0,268.0,1056.0,4.0,Y,4.0,1074,0,0,1074,1.0,0.0,1,1,3,1,2.0,6,Typ,0,0.0,Attchd,1975.0,2.0,2.0,495.0,3.0,2.0,0,88,0,0,0,0,MnPrv,0,7,2006,WD,Normal,153500,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
60,FV,75.0,9000,NoAlley,3.0,Lvl,Inside,2.0,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1088.0,1088.0,4.0,Y,4.0,1088,871,0,1959,0.0,0.0,2,1,3,1,3.0,8,Typ,1,4.0,Attchd,2006.0,2.0,3.0,1025.0,3.0,2.0,208,46,0,0,0,0,NoFence,0,12,2007,WD,Normal,270000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
30,RL,52.0,6615,NoAlley,3.0,Lvl,Inside,2.0,BrkSide,Norm,1Fam,1Story,6,6,1923,1950,Gable,MetalSd,MetalSd,None,0.0,2.0,2.0,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1022.0,1022.0,2.0,N,3.0,1432,0,0,1432,0.0,0.0,1,0,3,1,3.0,6,Typ,1,4.0,BuiltIn,1923.0,1.0,1.0,216.0,2.0,2.0,266,61,0,0,0,0,GdWo,0,9,2009,WD,Normal,149000,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
60,RL,93.0,11999,NoAlley,3.0,Lvl,Inside,2.0,NridgHt,Norm,1Fam,2Story,8,5,2003,2004,Hip,VinylSd,VinylSd,BrkFace,340.0,3.0,2.0,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1181.0,1181.0,4.0,Y,4.0,1234,1140,0,2374,0.0,0.0,2,1,4,1,4.0,10,Typ,1,4.0,BuiltIn,2003.0,3.0,3.0,656.0,3.0,2.0,104,100,0,0,0,0,NoFence,0,5,2007,WD,Normal,285000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,160.0,20000,NoAlley,3.0,Lvl,Inside,2.0,Mitchel,Norm,1Fam,1Story,5,7,1960,1996,Gable,VinylSd,VinylSd,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,5.0,1224.0,1.0,0.0,0.0,1224.0,4.0,Y,4.0,1224,0,0,1224,1.0,0.0,1,0,4,1,2.0,7,Typ,1,3.0,Detchd,1960.0,1.0,2.0,576.0,3.0,2.0,474,0,0,0,0,0,NoFence,0,9,2006,WD,Abnorml,131000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
40,RM,40.0,5400,Pave,3.0,Lvl,Corner,2.0,OldTown,Norm,1Fam,1Story,6,7,1926,2004,Gable,MetalSd,MetalSd,None,0.0,2.0,3.0,BrkTil,3.0,3.0,2.0,2.0,370.0,1.0,0.0,779.0,1149.0,3.0,Y,3.0,1149,467,0,1616,0.0,0.0,2,0,3,1,3.0,5,Typ,0,0.0,Detchd,1926.0,1.0,1.0,216.0,3.0,2.0,0,0,183,0,0,0,NoFence,0,10,2007,WD,Normal,152000,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20,RL,80.0,11250,NoAlley,2.0,Lvl,Inside,2.0,Veenker,Norm,1Fam,1Story,6,6,1977,1977,Gable,Plywood,Plywood,None,0.0,3.0,2.0,CBlock,4.0,3.0,1.0,5.0,767.0,1.0,0.0,441.0,1208.0,2.0,Y,4.0,1208,0,0,1208,1.0,0.0,1,1,3,1,2.0,6,Typ,1,3.0,Attchd,1977.0,2.0,2.0,546.0,3.0,2.0,198,42,0,0,0,0,NoFence,0,6,2006,WD,Normal,165000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,68.0,7480,NoAlley,3.0,Lvl,Inside,2.0,CollgCr,Norm,1Fam,1Story,5,6,1972,1972,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,CBlock,3.0,3.0,3.0,5.0,480.0,1.0,0.0,396.0,876.0,2.0,Y,4.0,876,0,0,876,1.0,0.0,1,0,3,1,2.0,5,Typ,0,0.0,Detchd,1977.0,1.0,2.0,484.0,3.0,2.0,0,0,0,0,0,0,MnPrv,0,6,2010,WD,Normal,127000,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,80.0,10400,NoAlley,3.0,Lvl,Inside,2.0,NWAmes,Norm,1Fam,1Story,6,5,1976,1976,Gable,HdBoard,HdBoard,BrkFace,120.0,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1444.0,1444.0,2.0,Y,4.0,1444,0,0,1444,0.0,0.0,2,0,2,1,2.0,5,Typ,1,4.0,Attchd,1976.0,1.0,2.0,473.0,3.0,2.0,0,24,0,0,0,0,GdWo,0,4,2008,WD,Normal,159900,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
20,RL,72.0,9770,NoAlley,3.0,Lvl,Inside,2.0,NAmes,Norm,1Fam,1Story,5,5,1957,1957,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,512.0,1.0,0.0,410.0,922.0,2.0,Y,3.0,922,0,0,922,1.0,0.0,1,0,2,1,2.0,5,Typ,0,0.0,Attchd,1957.0,1.0,1.0,308.0,3.0,2.0,0,34,0,0,0,0,GdWo,0,4,2007,WD,Normal,116000,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
60,RL,94.0,13005,NoAlley,2.0,Lvl,Corner,2.0,NWAmes,Norm,1Fam,2Story,7,7,1980,1980,Gable,CemntBd,CmentBd,BrkFace,278.0,3.0,2.0,CBlock,4.0,3.0,1.0,6.0,692.0,1.0,0.0,153.0,845.0,2.0,Y,4.0,1153,1200,0,2353,1.0,0.0,2,1,4,1,4.0,10,Typ,1,3.0,Attchd,1983.0,2.0,2.0,484.0,3.0,2.0,288,195,0,0,0,0,GdPrv,0,8,2009,WD,Normal,260000,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
20,RL,64.0,6762,NoAlley,3.0,Lvl,Inside,2.0,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3.0,2.0,PConc,4.0,3.0,3.0,6.0,902.0,1.0,0.0,380.0,1282.0,4.0,Y,4.0,1290,0,0,1290,1.0,0.0,2,0,2,1,3.0,6,Typ,1,4.0,Attchd,2007.0,2.0,2.0,662.0,3.0,2.0,168,0,0,0,0,0,NoFence,0,5,2009,WD,Normal,200000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
60,RL,68.0,11250,NoAlley,2.0,Lvl,Inside,2.0,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,3.0,2.0,PConc,4.0,3.0,2.0,6.0,486.0,1.0,0.0,434.0,920.0,4.0,Y,4.0,920,866,0,1786,1.0,0.0,2,1,3,1,3.0,6,Typ,1,3.0,Attchd,2001.0,2.0,2.0,608.0,3.0,2.0,0,42,0,0,0,0,NoFence,0,9,2008,WD,Normal,223500,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
70,RL,75.0,13125,NoAlley,3.0,Lvl,Inside,2.0,Crawfor,Norm,1Fam,2Story,7,6,1940,1984,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,4.0,410.0,1.0,0.0,390.0,800.0,2.0,Y,4.0,960,780,0,1740,0.0,0.0,1,1,3,1,2.0,6,Typ,2,4.0,Attchd,1940.0,1.0,1.0,240.0,3.0,2.0,0,0,0,0,0,0,NoFence,0,7,2007,CWD,Normal,219500,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,84.0,7476,NoAlley,3.0,Lvl,Corner,2.0,Sawyer,Norm,1Fam,1Story,5,7,1968,1968,Gable,HdBoard,HdBoard,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,3.0,812.0,1.0,0.0,228.0,1040.0,2.0,Y,4.0,1040,0,0,1040,1.0,0.0,1,1,3,1,2.0,5,Typ,0,0.0,Detchd,1991.0,3.0,2.0,686.0,3.0,2.0,188,0,0,0,0,0,NoFence,0,6,2007,WD,Normal,145000,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
20,RL,89.0,10858,NoAlley,3.0,Lvl,Corner,2.0,NAmes,Feedr,1Fam,1Story,5,6,1952,1952,Gable,Wd Sdng,Plywood,Stone,150.0,2.0,3.0,CBlock,3.0,3.0,2.0,2.0,40.0,1.0,0.0,1404.0,1444.0,4.0,Y,4.0,1624,0,0,1624,1.0,0.0,1,0,2,1,2.0,6,Min1,1,4.0,Attchd,1952.0,2.0,1.0,240.0,3.0,2.0,0,40,324,0,0,0,MnPrv,0,7,2006,WD,Partial,146500,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
30,RM,50.0,7000,NoAlley,3.0,Lvl,Inside,2.0,IDOTRR,Norm,1Fam,1Story,6,8,1926,1998,Gable,VinylSd,VinylSd,None,0.0,2.0,3.0,BrkTil,3.0,3.0,1.0,3.0,299.0,6.0,40.0,555.0,894.0,2.0,Y,4.0,919,0,0,919,1.0,0.0,1,0,2,1,2.0,5,Typ,0,0.0,Detchd,1926.0,1.0,1.0,195.0,3.0,1.0,0,0,116,0,0,0,MnPrv,0,7,2008,WD,Normal,126000,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
70,C (all),60.0,5280,NoAlley,3.0,Lvl,Corner,2.0,IDOTRR,Feedr,1Fam,2Story,4,7,1895,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,2.0,2.0,Stone,1.0,2.0,1.0,1.0,0.0,1.0,0.0,173.0,173.0,4.0,N,4.0,825,536,0,1361,0.0,0.0,1,0,2,1,2.0,6,Typ,0,0.0,Detchd,1895.0,1.0,1.0,185.0,2.0,2.0,0,123,0,0,0,0,NoFence,0,7,2008,WD,Normal,89000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
120,RL,51.0,3635,NoAlley,3.0,Lvl,Inside,2.0,Blmngtn,Norm,TwnhsE,1Story,7,5,2007,2007,Hip,VinylSd,VinylSd,BrkFace,130.0,3.0,2.0,PConc,4.0,3.0,1.0,5.0,988.0,1.0,0.0,398.0,1386.0,4.0,Y,4.0,1569,0,0,1569,0.0,1.0,2,0,1,1,3.0,7,Typ,1,3.0,Attchd,2007.0,2.0,3.0,660.0,3.0,2.0,143,20,0,0,0,0,NoFence,0,5,2009,WD,Normal,175900,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
20,RL,92.0,11932,NoAlley,3.0,Lvl,FR2,2.0,Somerst,Feedr,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,186.0,3.0,2.0,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1580.0,1580.0,4.0,Y,4.0,1580,0,0,1580,0.0,0.0,2,0,3,1,3.0,7,Typ,0,0.0,Attchd,2008.0,2.0,3.0,830.0,3.0,2.0,0,24,0,0,0,0,NoFence,0,6,2008,ConLD,Partial,235128,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
50,RM,90.0,33120,NoAlley,0.0,Lvl,Inside,2.0,OldTown,RRAn,1Fam,1.5Fin,6,5,1962,1962,Gable,BrkFace,Wd Sdng,None,0.0,2.0,2.0,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1595.0,1595.0,2.0,Y,4.0,1611,875,0,2486,0.0,0.0,2,0,5,1,2.0,8,Typ,1,4.0,Detchd,1962.0,1.0,2.0,576.0,3.0,2.0,0,0,0,0,0,0,NoFence,0,10,2006,WD,Normal,220000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
85,RL,72.0,9360,NoAlley,3.0,Bnk,Inside,2.0,Mitchel,Norm,1Fam,SFoyer,6,7,1977,1977,Gable,Plywood,Plywood,None,0.0,2.0,2.0,CBlock,4.0,3.0,3.0,6.0,841.0,2.0,116.0,0.0,957.0,2.0,Y,4.0,1287,0,0,1287,1.0,0.0,1,1,2,1,2.0,5,Typ,2,2.0,Attchd,1977.0,2.0,2.0,541.0,3.0,2.0,302,39,0,0,120,0,GdWo,0,11,2009,WD,Normal,173000,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
190,RL,80.0,8800,NoAlley,3.0,Lvl,Inside,2.0,NAmes,RRAn,2fmCon,1Story,6,7,1965,2000,Hip,BrkFace,VinylSd,None,0.0,2.0,3.0,PConc,3.0,3.0,2.0,5.0,901.0,4.0,252.0,34.0,1187.0,4.0,Y,4.0,1565,0,0,1565,1.0,0.0,2,0,3,1,3.0,7,Min1,2,3.0,Attchd,1965.0,2.0,1.0,299.0,3.0,2.0,200,25,211,0,0,0,MnPrv,460,6,2006,WD,Abnorml,185900,0,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0
120,FV,45.0,4379,NoAlley,2.0,Lvl,FR2,2.0,Somerst,Norm,TwnhsE,1Story,8,5,2004,2004,Gable,MetalSd,MetalSd,None,0.0,3.0,2.0,PConc,4.0,3.0,3.0,6.0,851.0,1.0,0.0,527.0,1378.0,4.0,Y,4.0,1378,0,0,1378,1.0,0.0,2,0,2,1,3.0,6,Typ,1,4.0,Attchd,2004.0,3.0,2.0,540.0,3.0,2.0,160,56,0,0,0,0,NoFence,0,7,2007,WD,Normal,214000,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
